start,end,text,translation
0.0,9.4,Today I'm in Bratislava Slovakia and in this video I'm going to teach you some English vocabulary and phrases you can use when you travel.,Bugün Bratislava Slovakya'dayım ve bu videoda size seyahat ederken kullanabileceğiniz İngilizce kelime dağarcığı ve deyimleri öğreteceğim.
9.4,17.4,"So if you like to travel and you want to learn some new and useful words in English, then watch until the end of this video.","Eğer seyahat etmeyi seviyorsanız ve İngilizce yeni ve kullanışlı kelimeler öğrenmek istiyorsanız, o zaman bu videonun sonuna kadar izleyin."
17.4,25.4,"I wanted to arrive in Bratislava early in the day, so I hit the road at 7 in the morning.","Günün erken saatlerinde Bratislava'ya varmak istedim, bu yüzden sabah 7'de yola çıktım."
25.4,31.4,To hit the road means to start a journey or trip usually by car.,Yola çıkmak genellikle arabayla ya da arabayla çıkmak anlamına gelir.
31.4,43.0,"The drive along the highway was pretty scenic. When a landscape is scenic, it means it's pretty, it's beautiful and it's nice to look at.","Otoyol boyunca yolculuk oldukça manzaralıydı. Bir manzara manzaralı olduğunda, güzel, güzel ve güzel göründüğü anlamına gelir."
43.0,48.2,I was excited to arrive in Bratislava and go sightseeing.,Bratislava'ya gelip gezeceğim için heyecanlıydım.
48.2,56.2,"When you go sightseeing, it means you explore a city and you see all the attractions and sights.","Gezintiye çıktığınızda, bir şehri keşfedersiniz ve tüm çekimleri ve manzaraları görürsünüz."
56.2,64.2,I arrived in the city at 9 am and I figured the best way to get around was by walking.,Sabah 9'da şehre geldim ve etrafta dolaşmanın en iyi yolunun yürümek olduğunu düşündüm.
64.2,74.2,"Bratislava is a very walkable city, which means it's easy to walk through, but you could also use public transportation.","Bratislava çok yürünebilir bir şehirdir, bu da yürümenin kolay olduğu anlamına gelir, ama toplu taşıma araçlarını da kullanabilirsiniz."
74.2,81.2,"Public transportation is things like buses, trains, or in this case, trams.","Toplu taşıma otobüs, tren ya da bu durumda tramvay gibi şeylerdir."
